Kategori,Soru,Durum,Beklenen,Üretilen
COUNT,kaç müşteri var,BAŞARILI,select count(*) as count from customers,select count(*) as count from customers
COUNT,bu ay kaç sipariş var,BAŞARILI,"select count(*) as count from orders where date_trunc('month', orders.created_at) = date_trunc('month', current_date)","select count(*) as count from orders where date_trunc('month', orders.created_at) = date_trunc('month', current_date)"
COUNT,son 3 ay kaç sipariş var,BAŞARILI,select count(*) as count from orders where orders.created_at >= current_date - interval '3 months',select count(*) as count from orders where orders.created_at >= current_date - interval '3 months'
COUNT,bu yıl kaç farklı müşteri sipariş verdi,BAŞARILI,select count(distinct customer_id) as count from orders where extract(year from orders.created_at) = extract(year from current_date),select count(distinct customer_id) as count from orders where extract(year from orders.created_at) = extract(year from current_date)
COUNT,bu yıl kaç müşteri en az 1 sipariş verdi,BAŞARILI,select count(distinct customer_id) as count from orders where extract(year from orders.created_at) = extract(year from current_date),select count(distinct customer_id) as count from orders where extract(year from orders.created_at) = extract(year from current_date)
COUNT,2025 te son 3 ayda kaç sipariş var,BAŞARILI,select count(*) as count from orders where orders.created_at >= current_date - interval '3 months' and extract(year from orders.created_at) = 2025,select count(*) as count from orders where orders.created_at >= current_date - interval '3 months' and extract(year from orders.created_at) = 2025
COUNT,bu yıl kaç müşteri kayıt oldu,BAŞARILI,select count(*) as count from customers where extract(year from customers.created_at) = extract(year from current_date),select count(*) as count from customers where extract(year from customers.created_at) = extract(year from current_date)
COUNT,bu ay kaç farklı ürün satıldı,BAŞARILI,"select count(distinct order_items.product_id) as count from order_items join orders on order_items.order_id = orders.id where date_trunc('month', orders.created_at) = date_trunc('month', current_date)","select count(distinct order_items.product_id) as count from order_items join orders on order_items.order_id = orders.id where date_trunc('month', orders.created_at) = date_trunc('month', current_date)"
COUNT,bu ay toplam kaç ürün satıldı,BAŞARILI,"select count(*) as count from order_items join orders on order_items.order_id = orders.id where date_trunc('month', orders.created_at) = date_trunc('month', current_date)","select count(*) as count from order_items join orders on order_items.order_id = orders.id where date_trunc('month', orders.created_at) = date_trunc('month', current_date)"
SUM,bu yıl toplam sipariş tutarı ne kadar,BAŞARILI,"select coalesce(sum(orders.total_amount), 0) as total_sum from orders where extract(year from orders.created_at) = extract(year from current_date)","select coalesce(sum(orders.total_amount), 0) as total_sum from orders where extract(year from orders.created_at) = extract(year from current_date)"
SUM,2025 martta toplam sipariş tutarı ne kadar,BAŞARILI,"select coalesce(sum(orders.total_amount), 0) as total_sum from orders where extract(month from orders.created_at) = 3 and extract(year from orders.created_at) = 2025","select coalesce(sum(orders.total_amount), 0) as total_sum from orders where extract(month from orders.created_at) = 3 and extract(year from orders.created_at) = 2025"
SUM,bu ay toplam gelir ne kadar,BAŞARILI,"select coalesce(sum(orders.total_amount), 0) as total_sum from orders where date_trunc('month', orders.created_at) = date_trunc('month', current_date)","select coalesce(sum(orders.total_amount), 0) as total_sum from orders where date_trunc('month', orders.created_at) = date_trunc('month', current_date)"
SUM,aylara göre toplam ciro nedir,BAŞARILI,"select to_char(orders.created_at, 'yyyy-mm') as donem, coalesce(sum(orders.total_amount), 0) as total_sum from orders group by donem order by donem","select to_char(orders.created_at, 'yyyy-mm') as donem, coalesce(sum(orders.total_amount), 0) as total_sum from orders group by donem order by donem"
SUM,müşterilere göre toplam harcama ne kadar,BAŞARILI,"select customers.name, coalesce(sum(orders.total_amount), 0) as total_sum from orders join customers on orders.customer_id = customers.id group by customers.name order by 2 desc","select customers.name, coalesce(sum(orders.total_amount), 0) as total_sum from orders join customers on orders.customer_id = customers.id group by customers.name order by 2 desc"
LIST,ilk eklenen 5 müşteriyi listele,BAŞARILI,select * from customers order by customers.created_at asc limit 5,select * from customers order by customers.created_at asc limit 5
LIST,son eklenen 3 musteriyi listele,BAŞARILI,select * from customers order by customers.created_at desc limit 3,select * from customers order by customers.created_at desc limit 3
LIST,ilk 5 siparişi göster,BAŞARILI,select * from orders order by orders.created_at asc limit 5,select * from orders order by orders.created_at asc limit 5
LIST,müşterilerinin isimlerini göster,BAŞARILI,select name from customers limit 10,select name from customers limit 10
LIST,10000 tl üzeri harcama yapan müşterileri listele,BAŞARILI,"select customers.name, sum(orders.total_amount) as toplam from orders join customers on orders.customer_id = customers.id group by customers.name having sum(orders.total_amount) > 10000 order by toplam desc limit 10","select customers.name, sum(orders.total_amount) as toplam from orders join customers on orders.customer_id = customers.id group by customers.name having sum(orders.total_amount) > 10000 order by toplam desc limit 10"
LIST,aylara göre siparişleri listele,BAŞARILI,"select to_char(orders.created_at, 'yyyy-mm') as donem, count(*) as siparis_sayisi from orders group by donem order by donem","select to_char(orders.created_at, 'yyyy-mm') as donem, count(*) as siparis_sayisi from orders group by donem order by donem"
LIST,siparişleri ve müşterileri birlikte listele,HATALI,"select orders.total_amount, customers.name, orders.created_at from orders join customers on orders.customer_id = customers.id limit 10",select * from customers limit 10
MAX/MIN,en pahalı ürün ne kadar,BAŞARILI,select max(price) as sonuc from products,select max(price) as sonuc from products
MAX/MIN,en ucuz ürün ne kadar,BAŞARILI,select min(price) as sonuc from products,select min(price) as sonuc from products
MAX/MIN,en yüksek sipariş tutarı ne kadar,BAŞARILI,select max(total_amount) as sonuc from orders,select max(total_amount) as sonuc from orders
MAX/MIN,en düşük sipariş tutarı ne kadar,BAŞARILI,select min(total_amount) as sonuc from orders,select min(total_amount) as sonuc from orders
MAX/MIN,ilk 3 siparişi göster,BAŞARILI,select * from orders order by orders.created_at asc limit 3,select * from orders order by orders.created_at asc limit 3
MAX/MIN,son 5 siparişi göster,BAŞARILI,select * from orders order by orders.created_at desc limit 5,select * from orders order by orders.created_at desc limit 5
MAX/MIN,en pahalı 5 ürün göster,BAŞARILI,select products.name from products order by price desc limit 5,select products.name from products order by price desc limit 5
MAX/MIN,en ucuz 5 ürün göster,BAŞARILI,select products.name from products order by price asc limit 5,select products.name from products order by price asc limit 5
